account_id,client_id,contract_id,account_number,account_type,currency,open_date,close_date,status,branch_code
1,2103,1880.0,ACC0000000001,SAVINGS,USD,2025-08-26,,DORMANT,BR221
2,1962,3481.0,ACC0000000002,CHECKING,USD,2024-05-13,,DORMANT,BR285
3,2513,155.0,ACC0000000003,CHECKING,USD,2025-04-24,,ACTIVE,BR472
4,2177,1715.0,ACC0000000004,LOAN,USD,2025-04-22,,DORMANT,BR262
5,1861,,ACC0000000005,CREDIT,USD,2025-06-01,,DORMANT,BR206
6,192,2454.0,ACC0000000006,CREDIT,USD,2023-08-22,,DORMANT,BR732
7,404,4272.0,ACC0000000007,LOAN,USD,2025-01-12,,ACTIVE,BR218
8,234,1153.0,ACC0000000008,CREDIT,USD,2021-03-30,,ACTIVE,BR953
9,602,,ACC0000000009,LOAN,USD,2024-12-28,,CLOSED,BR847
10,478,,ACC0000000010,LOAN,USD,2021-08-19,2029-03-16,DORMANT,BR620
11,1682,4514.0,ACC0000000011,DEPOSIT,USD,2024-10-04,,DORMANT,BR872
12,229,4205.0,ACC0000000012,DEPOSIT,USD,2024-08-17,,DORMANT,BR305
13,387,,ACC0000000013,DEPOSIT,USD,2025-08-17,,DORMANT,BR982
14,832,,ACC0000000014,DEPOSIT,USD,2024-12-09,,CLOSED,BR813
15,2994,,ACC0000000015,LOAN,USD,2024-08-08,,DORMANT,BR152
16,754,4772.0,ACC0000000016,CHECKING,USD,2022-05-22,2027-10-28,DORMANT,BR773
17,2047,3455.0,ACC0000000017,CREDIT,USD,2025-06-03,,BLOCKED,BR853
18,1571,3971.0,ACC0000000018,LOAN,USD,2025-05-21,,DORMANT,BR494
19,620,4071.0,ACC0000000019,DEPOSIT,USD,2025-06-23,,DORMANT,BR862
20,1377,2624.0,ACC0000000020,CREDIT,USD,2025-03-22,,CLOSED,BR381
21,835,,ACC0000000021,CREDIT,USD,2025-02-09,,ACTIVE,BR834
22,662,4480.0,ACC0000000022,CREDIT,USD,2024-06-20,2029-07-22,CLOSED,BR553
23,1610,5876.0,ACC0000000023,DEPOSIT,USD,2024-04-04,,BLOCKED,BR795
24,987,,ACC0000000024,DEPOSIT,USD,2024-06-19,,BLOCKED,BR999
25,1302,4569.0,ACC0000000025,DEPOSIT,USD,2024-02-18,,ACTIVE,BR342
26,1282,5870.0,ACC0000000026,CREDIT,USD,2024-04-23,,ACTIVE,BR891
27,2938,,ACC0000000027,DEPOSIT,USD,2023-01-10,2026-08-07,CLOSED,BR303
28,2538,,ACC0000000028,CREDIT,USD,2024-08-02,,CLOSED,BR291
29,2152,,ACC0000000029,SAVINGS,USD,2025-10-11,,DORMANT,BR410
30,1106,,ACC0000000030,DEPOSIT,USD,2025-06-22,2029-07-29,ACTIVE,BR586
31,1698,5138.0,ACC0000000031,CHECKING,USD,2024-10-05,2028-11-03,ACTIVE,BR460
32,1795,360.0,ACC0000000032,LOAN,USD,2025-06-03,,BLOCKED,BR958
33,1278,1210.0,ACC0000000033,SAVINGS,USD,2024-10-16,2034-01-25,CLOSED,BR517
34,472,2582.0,ACC0000000034,CHECKING,USD,2025-10-27,,DORMANT,BR746
35,2187,4065.0,ACC0000000035,CHECKING,USD,2023-12-27,,BLOCKED,BR504
36,1100,756.0,ACC0000000036,LOAN,USD,2025-10-27,,DORMANT,BR984
37,2199,1084.0,ACC0000000037,SAVINGS,USD,2024-09-08,,CLOSED,BR597
38,2478,3025.0,ACC0000000038,DEPOSIT,USD,2025-04-07,,BLOCKED,BR214
39,2816,4959.0,ACC0000000039,CHECKING,USD,2025-11-01,,BLOCKED,BR937
40,1380,,ACC0000000040,SAVINGS,USD,2025-08-21,,ACTIVE,BR283
41,2700,4651.0,ACC0000000041,LOAN,USD,2025-04-01,2032-03-24,ACTIVE,BR798
42,1722,,ACC0000000042,CREDIT,USD,2025-10-02,2030-02-07,BLOCKED,BR706
43,2664,,ACC0000000043,LOAN,USD,2024-01-02,,DORMANT,BR307
44,160,5173.0,ACC0000000044,CHECKING,USD,2022-05-29,,ACTIVE,BR537
45,2162,347.0,ACC0000000045,CREDIT,USD,2024-04-30,,BLOCKED,BR557
46,678,,ACC0000000046,CREDIT,USD,2024-06-29,,DORMANT,BR640
47,2731,2914.0,ACC0000000047,CREDIT,USD,2024-11-08,2029-09-16,CLOSED,BR519
48,1624,3120.0,ACC0000000048,LOAN,USD,2024-06-25,2030-01-02,DORMANT,BR442
49,2532,860.0,ACC0000000049,LOAN,USD,2024-11-20,2026-11-03,ACTIVE,BR263
50,723,2158.0,ACC0000000050,CHECKING,USD,2023-06-28,,DORMANT,BR197
51,1147,,ACC0000000051,DEPOSIT,USD,2025-04-19,2028-05-26,DORMANT,BR572
52,221,1804.0,ACC0000000052,DEPOSIT,USD,2025-07-09,,BLOCKED,BR788
53,2591,3454.0,ACC0000000053,CHECKING,USD,2025-05-14,,CLOSED,BR610
54,2453,4616.0,ACC0000000054,DEPOSIT,USD,2024-08-03,,BLOCKED,BR810
55,2091,5682.0,ACC0000000055,SAVINGS,USD,2025-08-01,,ACTIVE,BR876
56,2808,5889.0,ACC0000000056,LOAN,USD,2023-10-22,,BLOCKED,BR221
57,1550,,ACC0000000057,LOAN,USD,2024-08-06,,DORMANT,BR136
58,1973,,ACC0000000058,DEPOSIT,USD,2021-09-01,,BLOCKED,BR551
59,182,5302.0,ACC0000000059,CREDIT,USD,2023-06-19,,CLOSED,BR924
60,865,2640.0,ACC0000000060,CREDIT,USD,2025-09-18,,BLOCKED,BR573
61,285,2225.0,ACC0000000061,CREDIT,USD,2025-09-17,,ACTIVE,BR988
62,2343,4221.0,ACC0000000062,CREDIT,USD,2025-01-14,,DORMANT,BR289
63,2729,4968.0,ACC0000000063,DEPOSIT,USD,2023-09-13,2026-01-07,DORMANT,BR667
64,1083,,ACC0000000064,DEPOSIT,USD,2025-06-16,,DORMANT,BR922
65,197,,ACC0000000065,CHECKING,USD,2025-05-01,,ACTIVE,BR538
66,2467,448.0,ACC0000000066,DEPOSIT,USD,2025-10-08,,BLOCKED,BR367
67,1140,,ACC0000000067,SAVINGS,USD,2025-02-09,,BLOCKED,BR860
68,651,3079.0,ACC0000000068,SAVINGS,USD,2024-08-25,2027-09-26,ACTIVE,BR572
69,1797,1327.0,ACC0000000069,CREDIT,USD,2025-04-11,,BLOCKED,BR258
70,2230,1096.0,ACC0000000070,DEPOSIT,USD,2024-12-06,,ACTIVE,BR861
71,2346,905.0,ACC0000000071,CHECKING,USD,2024-07-11,,ACTIVE,BR233
72,2046,1153.0,ACC0000000072,DEPOSIT,USD,2024-09-21,,DORMANT,BR490
73,2743,790.0,ACC0000000073,SAVINGS,USD,2024-09-04,,CLOSED,BR351
74,1564,4791.0,ACC0000000074,LOAN,USD,2025-05-05,,ACTIVE,BR350
75,1497,4655.0,ACC0000000075,DEPOSIT,USD,2022-12-22,,ACTIVE,BR922
76,2686,3812.0,ACC0000000076,SAVINGS,USD,2022-11-26,,DORMANT,BR313
77,2329,,ACC0000000077,SAVINGS,USD,2024-03-13,2032-03-28,BLOCKED,BR320
78,2154,4989.0,ACC0000000078,CREDIT,USD,2023-06-18,2027-09-26,CLOSED,BR305
79,1100,1187.0,ACC0000000079,DEPOSIT,USD,2025-07-05,2026-12-11,DORMANT,BR629
80,2462,2142.0,ACC0000000080,SAVINGS,USD,2024-09-18,,ACTIVE,BR900
81,1812,3869.0,ACC0000000081,DEPOSIT,USD,2025-08-04,,ACTIVE,BR454
