card_id,client_id,account_id,card_number,card_holder_name,expiry_date,cvv,card_type,card_level,status,issue_date
1,131,2363,4329 9048 3914 9289,Adam Parker,2026-08-17,848,DEBIT,STANDARD,LOST,2023-08-18
2,1150,5811,4651 6517 9987 8512,Kayla Romero,2028-10-28,782,CREDIT,PLATINUM,BLOCKED,2025-10-29
3,1984,2213,4309 9815 5322 8280,Jonathan Davis,2028-10-07,758,CREDIT,GOLD,ACTIVE,2025-10-08
4,1704,5983,4977 1793 2529 9727,Charles Johnson,2028-10-20,237,CREDIT,GOLD,LOST,2025-10-21
5,635,1774,4744 4448 8236 3039,Timothy Lane,2028-08-24,865,CREDIT,PLATINUM,EXPIRED,2025-08-25
6,675,3601,4820 7548 9237 9665,Michelle Valencia,2028-10-13,574,CREDIT,GOLD,ACTIVE,2025-10-14
7,2103,5413,4187 4798 6582 9403,Roberto Oconnor,2028-10-26,862,DEBIT,GOLD,EXPIRED,2025-10-27
8,340,5402,4088 8306 3735 5978,Chelsea Smith,2028-10-23,181,DEBIT,GOLD,LOST,2025-10-24
9,2004,3818,4461 6809 2485 3412,Jacob Romero,2028-01-06,455,DEBIT,STANDARD,BLOCKED,2025-01-06
10,1417,6704,4704 3189 1765 3211,Christian Davila,2028-08-10,482,CREDIT,STANDARD,LOST,2025-08-11
11,164,967,4586 8200 8056 2084,Shannon Edwards,2027-05-24,419,DEBIT,GOLD,ACTIVE,2024-05-24
12,51,5808,4784 4939 1671 3165,Erica Hoover,2028-08-23,411,CREDIT,STANDARD,LOST,2025-08-24
13,1372,3492,4975 4350 9867 8981,David Garrett,2028-01-24,898,DEBIT,GOLD,LOST,2025-01-24
14,640,1060,4306 6816 6030 6068,Barbara Stark,2028-05-15,869,CREDIT,PLATINUM,LOST,2025-05-16
15,2597,3631,4099 7395 8725 7714,Clarence Ramos,2028-10-17,127,CREDIT,STANDARD,LOST,2025-10-18
16,849,1628,4049 4479 1972 8828,Jamie Dudley,2028-10-13,379,DEBIT,STANDARD,BLOCKED,2025-10-14
17,1492,7307,4983 9938 9903 5978,Daniel Velazquez,2028-10-21,284,CREDIT,GOLD,LOST,2025-10-22
18,549,1000,4693 3750 8738 9437,Angela Henson,2028-10-28,590,CREDIT,GOLD,EXPIRED,2025-10-29
19,2302,540,4744 9797 3375 1570,Nicole Allison,2026-11-19,309,DEBIT,GOLD,LOST,2023-11-20
20,1249,7913,4647 2536 4536 8119,Nancy Fischer,2027-12-19,804,CREDIT,GOLD,EXPIRED,2024-12-19
21,2886,5118,4609 4342 6881 2950,Derek Prince,2028-10-02,208,DEBIT,PLATINUM,ACTIVE,2025-10-03
22,1366,1420,4759 1656 7502 1555,Alice Ramirez,2028-05-27,541,CREDIT,STANDARD,EXPIRED,2025-05-28
23,405,4151,4983 6638 5361 7365,Christopher Morgan,2028-01-13,866,CREDIT,PLATINUM,EXPIRED,2025-01-13
24,1386,4850,4646 9781 1039 1656,Rhonda Avila,2028-10-07,867,CREDIT,STANDARD,LOST,2025-10-08
25,2980,3107,4971 2118 7397 8254,Elijah Green,2028-07-28,572,CREDIT,STANDARD,BLOCKED,2025-07-29
26,775,6889,4956 5382 6116 8897,Ryan Khan,2028-09-28,893,CREDIT,STANDARD,BLOCKED,2025-09-29
27,622,586,4233 9043 9494 5818,Roberto Crawford,2028-05-06,286,CREDIT,GOLD,BLOCKED,2025-05-07
28,1315,6227,4741 1537 4427 6605,Kenneth Meyer,2028-10-03,288,CREDIT,STANDARD,ACTIVE,2025-10-04
29,1947,376,4169 5280 2239 7390,Jeff Wilson,2028-04-01,850,CREDIT,PLATINUM,ACTIVE,2025-04-02
30,1154,2451,4588 7642 1904 7855,Matthew Perez,2028-09-16,829,CREDIT,PLATINUM,ACTIVE,2025-09-17
31,2158,6434,4012 7641 9799 2880,Jill Jackson,2028-10-30,874,CREDIT,PLATINUM,ACTIVE,2025-10-31
32,1896,4581,4506 2799 9619 9660,Emily Perez,2028-10-19,646,CREDIT,PLATINUM,ACTIVE,2025-10-20
33,404,3262,4415 7297 7974 7903,Jamie Evans,2028-09-10,321,DEBIT,PLATINUM,BLOCKED,2025-09-11
34,1944,6470,4149 2288 9914 3987,Matthew Smith,2028-10-03,460,DEBIT,PLATINUM,BLOCKED,2025-10-04
35,33,7114,4239 2180 6083 7528,Casey Myers,2027-01-30,460,DEBIT,STANDARD,LOST,2024-01-31
36,863,4877,4856 3043 8897 3534,Miranda Cole,2026-03-10,773,CREDIT,STANDARD,BLOCKED,2023-03-11
37,390,7846,4898 3574 8530 6015,Amanda English,2027-12-02,154,CREDIT,GOLD,BLOCKED,2024-12-02
38,332,4853,4005 1808 7848 9330,Cynthia Palmer,2028-01-24,581,CREDIT,STANDARD,ACTIVE,2025-01-24
39,1435,3182,4071 1055 6427 8635,Ethan Farmer,2027-03-16,923,DEBIT,STANDARD,ACTIVE,2024-03-16
40,937,4477,4854 8342 4450 7451,Dustin Campbell,2027-10-04,503,CREDIT,GOLD,BLOCKED,2024-10-04
41,1143,3826,4494 7890 9932 4878,Jennifer Sanchez,2028-10-20,103,DEBIT,STANDARD,ACTIVE,2025-10-21
42,2993,4910,4693 5296 9823 1425,Rachel Carpenter,2028-09-02,721,DEBIT,GOLD,EXPIRED,2025-09-03
43,2499,3106,4073 3910 4245 2764,Christopher Stout,2028-08-31,440,DEBIT,STANDARD,EXPIRED,2025-09-01
44,762,7218,4313 6983 6587 2981,Jacqueline Goodwin,2028-05-01,977,CREDIT,PLATINUM,LOST,2025-05-02
45,2032,1857,4518 5157 7204 6393,Jocelyn Johnson,2028-08-09,100,DEBIT,STANDARD,BLOCKED,2025-08-10
46,1100,1568,4449 7352 8875 1362,Samantha Smith,2027-05-12,911,CREDIT,PLATINUM,BLOCKED,2024-05-12
47,915,1502,4619 5981 2480 7611,Joshua Benson,2028-10-16,421,DEBIT,PLATINUM,BLOCKED,2025-10-17
48,1146,643,4103 4124 6888 3037,Lawrence Jones,2024-03-30,364,CREDIT,PLATINUM,BLOCKED,2021-03-31
49,2369,6688,4533 1005 8179 5943,Ricky Bennett,2027-10-01,732,CREDIT,PLATINUM,BLOCKED,2024-10-01
50,611,6648,4322 8471 1898 4043,Richard Williams,2028-07-14,691,CREDIT,PLATINUM,LOST,2025-07-15
51,2876,987,4378 5704 4933 3261,Norma Pierce,2028-10-26,374,DEBIT,GOLD,LOST,2025-10-27
52,1050,1850,4004 8404 7967 5828,Laura Ortiz,2028-09-18,465,CREDIT,PLATINUM,BLOCKED,2025-09-19
53,1208,2680,4205 9547 2269 2014,Richard Andersen,2028-08-06,367,CREDIT,GOLD,BLOCKED,2025-08-07
