client_id,first_name,last_name,email,phone,birth_date,registration_date,address,city,country,risk_category,credit_score,employment_status,annual_income
1,Andrew,Harris,zbrewer@example.org,001-912-729-7776,1988-09-30,2022-02-03,"7186 Allen Greens, Port Kendrastad, PW 56125",West Meganmouth,US,HIGH,414,EMPLOYED,193141.11
2,Michelle,Perez,thomasfarrell@example.net,733-353-8178x9642,1972-10-03,2022-07-05,"8418 Susan Unions Suite 739, East Jessicafort, WV 23786",Laraburgh,US,LOW,528,SELF_EMPLOYED,192023.67
3,Brianna,Fisher,michaelhawkins@example.org,001-895-280-1639x501,1963-03-28,2023-03-18,"402 Daniel Burg, Mcguiretown, KS 64576",Riveraport,US,HIGH,389,RETIRED,36992.19
4,Christopher,Boone,eric12@example.net,506-832-6510x99654,1961-02-23,2025-07-18,"21176 Sullivan Crossing Apt. 580, Port Barbara, NH 18036",North Carolfurt,US,LOW,523,SELF_EMPLOYED,141178.16
5,Ryan,Schultz,andrewsjesse@example.net,948.682.5135,1957-03-05,2023-06-02,"70187 Elizabeth Track, East Glennmouth, DE 45044",North Stephaniefort,US,LOW,503,RETIRED,78496.94
6,Lisa,Duran,petersonangela@example.com,(503)873-5963x1276,1968-03-03,2021-01-18,"0148 Harold Roads, East Paulhaven, MS 82345",Haleyborough,US,HIGH,584,EMPLOYED,196937.62
7,Leslie,Owens,floresjohn@example.com,509-724-9699x081,1967-07-28,2025-08-20,"6631 Cabrera Plaza, Rileyview, VA 59719",Alvarezstad,US,LOW,732,UNEMPLOYED,91131.7
8,Samuel,Perkins,jefferyhodges@example.com,001-286-527-9398x516,1996-09-24,2023-12-13,"PSC 0134, Box 8579, APO AE 70536",Kennethtown,US,LOW,644,EMPLOYED,50404.09
9,David,Frazier,mcmillanjames@example.org,001-993-961-7135x90108,1947-07-11,2022-05-19,"98461 Nicholas Via, New Kristie, GA 39329",New Ann,US,LOW,667,UNEMPLOYED,162819.73
10,Sarah,Perez,angela50@example.net,272.555.7294x876,2006-12-27,2024-09-08,"04537 Martin Manor, Lake Cynthiafurt, IN 23941",Port Davidburgh,US,LOW,770,EMPLOYED,244085.47
