employee_id,branch_id,first_name,last_name,email,phone,position,department,hire_date,salary,status
1,3,Cody,Ayala,kimkevin@example.com,001-220-553-5951x88317,ADVISOR,COMPLIANCE,2017-07-31,66165.77,INACTIVE
2,10,Joseph,Day,dmanning@example.com,904-737-4604,TELLER,OPERATIONS,2021-10-24,105493.07,ACTIVE
3,18,Phillip,Jones,ghall@example.net,953.626.9560,ADVISOR,RETAIL,2020-08-13,92767.23,INACTIVE
4,1,Karen,Bowers,heatherho@example.org,(417)745-0901x121,ANALYST,OPERATIONS,2020-06-21,107099.77,SUSPENDED
5,31,Timothy,Rios,mcdowellallison@example.com,659-800-5444,MANAGER,OPERATIONS,2016-07-26,42495.26,ACTIVE
6,7,Matthew,Barnett,jmitchell@example.net,+1-330-411-8750x39052,ANALYST,OPERATIONS,2021-04-15,54298.29,INACTIVE
7,1,Joshua,Simpson,millsaustin@example.com,001-215-440-3221,TELLER,IT,2024-03-26,72857.43,ACTIVE
8,41,Charles,Palmer,tylervega@example.org,001-446-886-5859x26163,ADVISOR,RETAIL,2023-05-28,37818.15,ACTIVE
9,20,Sarah,Guerrero,anthony21@example.net,650.353.8613x029,TELLER,RISK,2025-02-10,98930.96,ACTIVE
10,24,Linda,Hunt,dmacdonald@example.net,001-511-261-7770x23397,ANALYST,COMPLIANCE,2015-11-22,44989.38,SUSPENDED
11,44,Brandi,Mcclure,morgan37@example.org,(496)452-1193,SUPERVISOR,OPERATIONS,2016-11-19,47056.34,ACTIVE
12,11,Christian,Camacho,vpotter@example.net,536.426.8016,ADVISOR,IT,2017-06-05,88228.62,INACTIVE
13,29,Alicia,Delacruz,deannawilson@example.net,(901)254-9336x820,ADVISOR,RETAIL,2021-03-13,92888.34,SUSPENDED
14,28,Kristin,Gray,crystalwest@example.net,297.659.8386x4294,SUPERVISOR,IT,2021-02-07,76300.09,ACTIVE
15,48,Paul,Mitchell,xwallace@example.net,330.526.5803x51900,TELLER,IT,2022-07-17,70115.17,SUSPENDED
16,21,James,Smith,ricardocannon@example.com,6423771249,TELLER,IT,2016-04-08,82466.7,SUSPENDED
17,46,Taylor,Obrien,rayalexis@example.org,+1-640-764-2706x91451,SUPERVISOR,RETAIL,2018-12-01,73589.17,ACTIVE
18,33,Kevin,Miller,lharris@example.com,921.265.2171x367,ADVISOR,OPERATIONS,2022-06-26,90226.88,INACTIVE
19,24,John,Thompson,samantha67@example.net,+1-720-336-9854x117,SUPERVISOR,COMPLIANCE,2021-09-07,47171.99,INACTIVE
20,32,Amy,Allen,millertara@example.org,293-319-4401x77714,SUPERVISOR,RETAIL,2017-09-28,46448.57,INACTIVE
21,23,Gary,Jones,justin74@example.org,203.658.8521,MANAGER,OPERATIONS,2017-10-05,36077.64,ACTIVE
22,20,Matthew,Campos,marisasloan@example.net,(494)333-8272x800,ANALYST,IT,2025-10-15,71478.57,SUSPENDED
23,23,Amanda,White,nelsonjodi@example.net,200.357.4710x0477,TELLER,RISK,2023-02-26,60544.27,SUSPENDED
24,23,Latasha,Lopez,tpena@example.org,+1-779-327-5953x17490,ANALYST,COMPLIANCE,2022-03-15,64018.58,ACTIVE
25,27,Megan,Myers,jacquelinemayer@example.com,249-537-7199,TELLER,RETAIL,2022-02-21,113854.24,INACTIVE
26,37,Heather,Brown,kristie95@example.net,(516)837-6562x36780,ADVISOR,OPERATIONS,2019-10-10,111522.83,ACTIVE
27,28,Danny,Porter,kleblanc@example.com,808.882.4191x48112,ADVISOR,OPERATIONS,2021-10-13,109794.77,INACTIVE
28,45,Nicole,Benjamin,jessicayu@example.net,001-410-811-4385x336,MANAGER,RISK,2020-06-08,87601.3,SUSPENDED
29,35,William,Ramos,schwartzmaria@example.com,2812794188,TELLER,OPERATIONS,2019-04-04,96896.13,ACTIVE
